2019-05-29 16:07:37,889 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:07:42,006 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:28:44,076 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:28:44 IST 2019]; root of context hierarchy
2019-05-29 16:28:45,097 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:28:49,597 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:37:33,112 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:37:33 IST 2019]; root of context hierarchy
2019-05-29 16:37:33,943 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:37:39,379 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:39:13,168 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:39:13 IST 2019]; root of context hierarchy
2019-05-29 16:39:13,933 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:39:16,918 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:40:20,123 | INFO | HttpMethodDirector.java 439 | I/O exception (java.net.ConnectException) caught when processing request: Connection refused: connect
2019-05-29 16:40:20,123 | INFO | HttpMethodDirector.java 445 | Retrying request
2019-05-29 16:40:21,128 | INFO | HttpMethodDirector.java 439 | I/O exception (java.net.ConnectException) caught when processing request: Connection refused: connect
2019-05-29 16:40:21,128 | INFO | HttpMethodDirector.java 445 | Retrying request
2019-05-29 16:40:22,130 | INFO | HttpMethodDirector.java 439 | I/O exception (java.net.ConnectException) caught when processing request: Connection refused: connect
2019-05-29 16:40:22,130 | INFO | HttpMethodDirector.java 445 | Retrying request
2019-05-29 16:48:07,247 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:48:07 IST 2019]; root of context hierarchy
2019-05-29 16:48:07,898 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:48:14,507 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:50:58,078 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:50:58 IST 2019]; root of context hierarchy
2019-05-29 16:50:58,722 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:51:05,584 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 17:58:37,997 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 17:58:37 IST 2019]; root of context hierarchy
2019-05-29 17:58:38,580 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 17:58:41,396 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 17:59:44,836 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 17:59:44 IST 2019]; root of context hierarchy
2019-05-29 17:59:55,055 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 17:59:55 IST 2019]; root of context hierarchy
2019-05-29 17:59:55,702 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 18:00:01,221 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
